#Energy, xr0, xi0, xrh, xih, delta, QB
   12.20000000000000000000, -0.13487E-04, 0.73509E-06, 0.81325E-05, 0.64572E-06, 0.67434E-05, 18.283
   12.30000000000000000000, -0.13267E-04, 0.71253E-06, 0.79999E-05, 0.62591E-06, 0.66337E-05, 18.129
   12.40000000000000000000, -0.13053E-04, 0.69083E-06, 0.78705E-05, 0.60687E-06, 0.65267E-05, 17.978
   12.50000000000000000000, -0.12844E-04, 0.66995E-06, 0.77442E-05, 0.58855E-06, 0.64221E-05, 17.830
   12.60000000000000000000, -0.12640E-04, 0.64986E-06, 0.76208E-05, 0.57091E-06, 0.63201E-05, 17.683
   12.70000000000000000000, -0.12441E-04, 0.63052E-06, 0.75003E-05, 0.55394E-06, 0.62204E-05, 17.540
   12.80000000000000000000, -0.12246E-04, 0.61189E-06, 0.73826E-05, 0.53759E-06, 0.61230E-05, 17.398
   12.90000000000000000000, -0.12056E-04, 0.59395E-06, 0.72677E-05, 0.52185E-06, 0.60279E-05, 17.259
   13.00000000000000000000, -0.11870E-04, 0.57667E-06, 0.71553E-05, 0.50668E-06, 0.59350E-05, 17.122
   13.10000000000000000000, -0.11688E-04, 0.56002E-06, 0.70455E-05, 0.49206E-06, 0.58442E-05, 16.987
   13.20000000000000000000, -0.11511E-04, 0.54396E-06, 0.69382E-05, 0.47797E-06, 0.57554E-05, 16.855
   13.30000000000000000000, -0.11337E-04, 0.52848E-06, 0.68332E-05, 0.46438E-06, 0.56686E-05, 16.724
   13.40000000000000000000, -0.11168E-04, 0.51355E-06, 0.67306E-05, 0.45127E-06, 0.55838E-05, 16.596
   13.50000000000000000000, -0.11002E-04, 0.49914E-06, 0.66303E-05, 0.43862E-06, 0.55008E-05, 16.470
   13.60000000000000000000, -0.10839E-04, 0.48524E-06, 0.65322E-05, 0.42642E-06, 0.54196E-05, 16.345
   13.70000000000000000000, -0.10681E-04, 0.47182E-06, 0.64362E-05, 0.41464E-06, 0.53403E-05, 16.222
   13.80000000000000000000, -0.10525E-04, 0.45887E-06, 0.63422E-05, 0.40327E-06, 0.52626E-05, 16.102
   13.90000000000000000000, -0.10373E-04, 0.44636E-06, 0.62503E-05, 0.39228E-06, 0.51866E-05, 15.983
   14.00000000000000000000, -0.10224E-04, 0.43427E-06, 0.61603E-05, 0.38167E-06, 0.51122E-05, 15.866
