%Energy, xr0, xi0, xrh, xih, delta, QB
   11.50000000000000000000, -0.13480E-04, 0.16934E-05, 0.77186E-05, 0.15953E-05, 0.67399E-05, 22.402
   11.60000000000000000000, -0.13375E-04, 0.16412E-05, 0.77057E-05, 0.15461E-05, 0.66876E-05, 22.199
   11.70000000000000000000, -0.13249E-04, 0.15911E-05, 0.76708E-05, 0.14987E-05, 0.66247E-05, 21.999
   11.80000000000000000000, -0.13111E-04, 0.15428E-05, 0.76214E-05, 0.14532E-05, 0.65553E-05, 21.803
   11.90000000000000000000, -0.12963E-04, 0.14964E-05, 0.75618E-05, 0.14094E-05, 0.64816E-05, 21.611
   12.00000000000000000000, -0.12810E-04, 0.14517E-05, 0.74950E-05, 0.13672E-05, 0.64051E-05, 21.422
   12.10000000000000000000, -0.12654E-04, 0.14087E-05, 0.74229E-05, 0.13267E-05, 0.63268E-05, 21.236
   12.20000000000000000000, -0.12495E-04, 0.13673E-05, 0.73471E-05, 0.12876E-05, 0.62476E-05, 21.054
   12.30000000000000000000, -0.12336E-04, 0.13274E-05, 0.72685E-05, 0.12500E-05, 0.61678E-05, 20.874
   12.40000000000000000000, -0.12176E-04, 0.12889E-05, 0.71880E-05, 0.12138E-05, 0.60879E-05, 20.698
   12.50000000000000000000, -0.12016E-04, 0.12519E-05, 0.71061E-05, 0.11789E-05, 0.60082E-05, 20.525
   12.60000000000000000000, -0.11858E-04, 0.12162E-05, 0.70234E-05, 0.11452E-05, 0.59289E-05, 20.355
   12.70000000000000000000, -0.11700E-04, 0.11818E-05, 0.69402E-05, 0.11127E-05, 0.58502E-05, 20.188
   12.80000000000000000000, -0.11544E-04, 0.11486E-05, 0.68568E-05, 0.10814E-05, 0.57722E-05, 20.023
   12.90000000000000000000, -0.11390E-04, 0.11165E-05, 0.67734E-05, 0.10512E-05, 0.56950E-05, 19.862
   13.00000000000000000000, -0.11237E-04, 0.10856E-05, 0.66904E-05, 0.10221E-05, 0.56187E-05, 19.702
   13.10000000000000000000, -0.11087E-04, 0.10557E-05, 0.66077E-05, 0.99397E-06, 0.55433E-05, 19.546
   13.20000000000000000000, -0.10938E-04, 0.10269E-05, 0.65256E-05, 0.96680E-06, 0.54690E-05, 19.392
   13.30000000000000000000, -0.10791E-04, 0.99908E-06, 0.64442E-05, 0.94057E-06, 0.53957E-05, 19.240
   13.40000000000000000000, -0.10647E-04, 0.97219E-06, 0.63635E-05, 0.91523E-06, 0.53235E-05, 19.091
   13.50000000000000000000, -0.10505E-04, 0.94620E-06, 0.62836E-05, 0.89075E-06, 0.52523E-05, 18.944
   13.60000000000000000000, -0.10365E-04, 0.92108E-06, 0.62046E-05, 0.86708E-06, 0.51823E-05, 18.800
   13.70000000000000000000, -0.10227E-04, 0.89680E-06, 0.61265E-05, 0.84421E-06, 0.51134E-05, 18.657
   13.80000000000000000000, -0.10091E-04, 0.87332E-06, 0.60494E-05, 0.82209E-06, 0.50455E-05, 18.517
   13.90000000000000000000, -0.99576E-05, 0.85060E-06, 0.59732E-05, 0.80069E-06, 0.49788E-05, 18.379
   14.00000000000000000000, -0.98264E-05, 0.82863E-06, 0.58981E-05, 0.77999E-06, 0.49132E-05, 18.243
