#Energy, xr0, xi0, xrh, xih, delta, QB
   11.50000000000000000000, -0.73677E-05, 0.85493E-07, 0.37393E-05, 0.79366E-07, 0.36838E-05, 23.393
   11.60000000000000000000, -0.72403E-05, 0.82604E-07, 0.36743E-05, 0.76690E-07, 0.36202E-05, 23.180
   11.70000000000000000000, -0.71163E-05, 0.79835E-07, 0.36110E-05, 0.74124E-07, 0.35581E-05, 22.970
   11.80000000000000000000, -0.69954E-05, 0.77181E-07, 0.35493E-05, 0.71665E-07, 0.34977E-05, 22.764
   11.90000000000000000000, -0.68776E-05, 0.74636E-07, 0.34892E-05, 0.69306E-07, 0.34388E-05, 22.562
   12.00000000000000000000, -0.67627E-05, 0.72194E-07, 0.34306E-05, 0.67043E-07, 0.33814E-05, 22.364
   12.10000000000000000000, -0.66507E-05, 0.69851E-07, 0.33735E-05, 0.64872E-07, 0.33253E-05, 22.170
   12.20000000000000000000, -0.65414E-05, 0.67602E-07, 0.33178E-05, 0.62787E-07, 0.32707E-05, 21.978
   12.30000000000000000000, -0.64348E-05, 0.65442E-07, 0.32634E-05, 0.60785E-07, 0.32174E-05, 21.790
   12.40000000000000000000, -0.63308E-05, 0.63367E-07, 0.32104E-05, 0.58861E-07, 0.31654E-05, 21.606
   12.50000000000000000000, -0.62293E-05, 0.61374E-07, 0.31587E-05, 0.57013E-07, 0.31147E-05, 21.424
   12.60000000000000000000, -0.61302E-05, 0.59458E-07, 0.31082E-05, 0.55236E-07, 0.30651E-05, 21.246
   12.70000000000000000000, -0.60335E-05, 0.57615E-07, 0.30589E-05, 0.53528E-07, 0.30167E-05, 21.071
   12.80000000000000000000, -0.59390E-05, 0.55844E-07, 0.30107E-05, 0.51885E-07, 0.29695E-05, 20.898
   12.90000000000000000000, -0.58467E-05, 0.54139E-07, 0.29637E-05, 0.50304E-07, 0.29234E-05, 20.729
   13.00000000000000000000, -0.57566E-05, 0.52499E-07, 0.29178E-05, 0.48783E-07, 0.28783E-05, 20.562
   13.10000000000000000000, -0.56685E-05, 0.50920E-07, 0.28730E-05, 0.47318E-07, 0.28343E-05, 20.398
   13.20000000000000000000, -0.55825E-05, 0.49400E-07, 0.28291E-05, 0.45908E-07, 0.27912E-05, 20.237
   13.30000000000000000000, -0.54984E-05, 0.47935E-07, 0.27863E-05, 0.44550E-07, 0.27492E-05, 20.078
   13.40000000000000000000, -0.54161E-05, 0.46525E-07, 0.27444E-05, 0.43241E-07, 0.27081E-05, 19.922
   13.50000000000000000000, -0.53358E-05, 0.45165E-07, 0.27035E-05, 0.41980E-07, 0.26679E-05, 19.768
   13.60000000000000000000, -0.52571E-05, 0.43855E-07, 0.26635E-05, 0.40764E-07, 0.26286E-05, 19.617
   13.70000000000000000000, -0.51802E-05, 0.42591E-07, 0.26243E-05, 0.39592E-07, 0.25901E-05, 19.468
   13.80000000000000000000, -0.51050E-05, 0.41373E-07, 0.25860E-05, 0.38461E-07, 0.25525E-05, 19.321
   13.90000000000000000000, -0.50314E-05, 0.40197E-07, 0.25486E-05, 0.37370E-07, 0.25157E-05, 19.177
   14.00000000000000000000, -0.49594E-05, 0.39063E-07, 0.25119E-05, 0.36318E-07, 0.24797E-05, 19.034
